file,index,orig_id,label,start,end,seq_len,k,energy_mfe,keys
000000.npz,0,000001_label0,0,0,300,300,6,-93.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000001.npz,1,000002_label0,0,0,300,300,6,-90.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000002.npz,2,000003_label0,0,0,300,300,6,-94.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000003.npz,3,000004_label0,0,0,300,300,6,-66.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000004.npz,4,000005_label0,0,0,300,300,6,-69.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000005.npz,5,000006_label0,0,0,300,300,6,-36.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000006.npz,6,000007_label0,0,0,300,300,6,-67.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000007.npz,7,000008_label0,0,0,300,300,6,-97.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000008.npz,8,000009_label0,0,0,300,300,6,-72.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000009.npz,9,000010_label0,0,0,300,300,6,-90.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000010.npz,10,000011_label0,0,0,300,300,6,-103.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000011.npz,11,000012_label0,0,0,300,300,6,-77.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000012.npz,12,000013_label0,0,0,300,300,6,-74.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000013.npz,13,000014_label0,0,0,300,300,6,-62.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000014.npz,14,000015_label0,0,0,300,300,6,-105.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000015.npz,15,000016_label0,0,0,300,300,6,-102.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000016.npz,16,000017_label0,0,0,300,300,6,-80.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000017.npz,17,000018_label0,0,0,300,300,6,-80.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000018.npz,18,000019_label0,0,0,300,300,6,-73.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000019.npz,19,000020_label0,0,0,300,300,6,-82.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000020.npz,20,000021_label0,0,0,300,300,6,-74.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000021.npz,21,000022_label0,0,0,300,300,6,-101.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000022.npz,22,000023_label0,0,0,300,300,6,-86.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000023.npz,23,000024_label0,0,0,300,300,6,-86.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000024.npz,24,000025_label0,0,0,300,300,6,-66.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000025.npz,25,000026_label0,0,0,300,300,6,-103.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000026.npz,26,000027_label0,0,0,300,300,6,-98.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000027.npz,27,000028_label0,0,0,300,300,6,-84.52,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000028.npz,28,000029_label0,0,0,300,300,6,-67.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000029.npz,29,000030_label0,0,0,300,300,6,-108.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000030.npz,30,000031_label0,0,0,300,300,6,-80.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000031.npz,31,000032_label0,0,0,300,300,6,-69.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000032.npz,32,000033_label0,0,0,300,300,6,-120.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000033.npz,33,000034_label0,0,0,300,300,6,-74.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000034.npz,34,000035_label0,0,0,300,300,6,-65.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000035.npz,35,000036_label0,0,0,300,300,6,-80.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000036.npz,36,000037_label0,0,0,300,300,6,-102.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000037.npz,37,000038_label0,0,0,300,300,6,-119.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000038.npz,38,000039_label0,0,0,300,300,6,-71.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000039.npz,39,000040_label0,0,0,300,300,6,-81.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000040.npz,40,000041_label0,0,0,300,300,6,-83.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000041.npz,41,000042_label0,0,0,300,300,6,-103.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000042.npz,42,000043_label0,0,0,300,300,6,-75.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000043.npz,43,000044_label0,0,0,300,300,6,-33.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000044.npz,44,000045_label0,0,0,300,300,6,-82.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000045.npz,45,000046_label0,0,0,300,300,6,-69.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000046.npz,46,000047_label0,0,0,300,300,6,-75.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000047.npz,47,000048_label0,0,0,300,300,6,-106.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000048.npz,48,000049_label0,0,0,300,300,6,-104.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000049.npz,49,000050_label0,0,0,300,300,6,-105.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000050.npz,50,000051_label0,0,0,300,300,6,-93.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000051.npz,51,000052_label0,0,0,300,300,6,-67.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000052.npz,52,000053_label0,0,0,300,300,6,-65.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000053.npz,53,000054_label0,0,0,300,300,6,-74.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000054.npz,54,000055_label0,0,0,300,300,6,-105.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000055.npz,55,000056_label0,0,0,300,300,6,-101.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000056.npz,56,000057_label0,0,0,300,300,6,-21.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000057.npz,57,000058_label0,0,0,300,300,6,-71.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000058.npz,58,000059_label0,0,0,300,300,6,-97.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000059.npz,59,000060_label0,0,0,300,300,6,-95.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000060.npz,60,000061_label0,0,0,300,300,6,-77.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000061.npz,61,000062_label0,0,0,300,300,6,-112.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000062.npz,62,000063_label0,0,0,300,300,6,-95.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000063.npz,63,000064_label0,0,0,300,300,6,-71.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000064.npz,64,000065_label0,0,0,300,300,6,-84.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000065.npz,65,000066_label0,0,0,300,300,6,-92.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000066.npz,66,000067_label0,0,0,300,300,6,-117.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000067.npz,67,000068_label0,0,0,300,300,6,-95.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000068.npz,68,000069_label0,0,0,300,300,6,-107.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000069.npz,69,000070_label0,0,0,300,300,6,-72.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000070.npz,70,000071_label0,0,0,300,300,6,-95.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000071.npz,71,000072_label0,0,0,300,300,6,-83.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000072.npz,72,000073_label0,0,0,300,300,6,-65.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000073.npz,73,000074_label0,0,0,300,300,6,-61.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000074.npz,74,000075_label0,0,0,300,300,6,-117.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000075.npz,75,000076_label0,0,0,300,300,6,-90.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000076.npz,76,000077_label0,0,0,300,300,6,-59.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000077.npz,77,000078_label0,0,0,300,300,6,-81.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000078.npz,78,000079_label0,0,0,300,300,6,-75.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000079.npz,79,000080_label0,0,0,300,300,6,-108.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000080.npz,80,000081_label0,0,0,300,300,6,-108.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000081.npz,81,000082_label0,0,0,300,300,6,-75.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000082.npz,82,000083_label0,0,0,300,300,6,-96.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000083.npz,83,000084_label0,0,0,300,300,6,-84.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000084.npz,84,000085_label0,0,0,300,300,6,-80.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000085.npz,85,000086_label0,0,0,300,300,6,-59.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000086.npz,86,000087_label0,0,0,300,300,6,-75.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000087.npz,87,000088_label0,0,0,300,300,6,-65.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000088.npz,88,000089_label0,0,0,300,300,6,-68.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000089.npz,89,000090_label0,0,0,300,300,6,-70.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000090.npz,90,000091_label0,0,0,300,300,6,-66.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000091.npz,91,000092_label0,0,0,300,300,6,-84.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000092.npz,92,000093_label0,0,0,300,300,6,-80.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000093.npz,93,000094_label0,0,0,300,300,6,-81.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000094.npz,94,000095_label0,0,0,300,300,6,-77.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000095.npz,95,000096_label0,0,0,300,300,6,-97.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000096.npz,96,000097_label0,0,0,300,300,6,-78.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000097.npz,97,000098_label0,0,0,300,300,6,-75.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000098.npz,98,000099_label0,0,0,300,300,6,-94.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000099.npz,99,000100_label0,0,0,300,300,6,-93.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000100.npz,100,000101_label0,0,0,300,300,6,-105.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000101.npz,101,000102_label0,0,0,300,300,6,-92.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000102.npz,102,000103_label0,0,0,300,300,6,-128.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000103.npz,103,000104_label0,0,0,300,300,6,-101.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000104.npz,104,000105_label0,0,0,300,300,6,-85.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000105.npz,105,000106_label0,0,0,300,300,6,-71.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000106.npz,106,000107_label0,0,0,300,300,6,-71.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000107.npz,107,000108_label0,0,0,300,300,6,-128.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000108.npz,108,000109_label0,0,0,300,300,6,-98.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000109.npz,109,000110_label0,0,0,300,300,6,-108.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000110.npz,110,000111_label0,0,0,300,300,6,-79.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000111.npz,111,000112_label0,0,0,300,300,6,-98.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000112.npz,112,000113_label0,0,0,300,300,6,-57.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000113.npz,113,000114_label0,0,0,300,300,6,-109.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000114.npz,114,000115_label0,0,0,300,300,6,-90.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000115.npz,115,000116_label0,0,0,300,300,6,-56.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000116.npz,116,000117_label0,0,0,300,300,6,-77.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000117.npz,117,000118_label0,0,0,300,300,6,-98.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000118.npz,118,000119_label0,0,0,300,300,6,-101.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000119.npz,119,000120_label0,0,0,300,300,6,-78.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000120.npz,120,000121_label0,0,0,300,300,6,-97.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000121.npz,121,000122_label0,0,0,300,300,6,-94.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000122.npz,122,000123_label0,0,0,300,300,6,-78.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000123.npz,123,000124_label0,0,0,300,300,6,-115.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000124.npz,124,000125_label0,0,0,300,300,6,-79.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000125.npz,125,000126_label0,0,0,300,300,6,-90.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000126.npz,126,000127_label0,0,0,300,300,6,-75.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000127.npz,127,000128_label0,0,0,300,300,6,-102.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000128.npz,128,000129_label0,0,0,300,300,6,-86.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000129.npz,129,000130_label0,0,0,300,300,6,-73.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000130.npz,130,000131_label0,0,0,300,300,6,-58.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000131.npz,131,000132_label0,0,0,300,300,6,-63.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000132.npz,132,000133_label0,0,0,300,300,6,-79.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000133.npz,133,000134_label0,0,0,300,300,6,-85.44,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000134.npz,134,000135_label0,0,0,300,300,6,-100.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000135.npz,135,000136_label0,0,0,300,300,6,-118.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000136.npz,136,000137_label0,0,0,300,300,6,-113.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000137.npz,137,000138_label0,0,0,300,300,6,-80.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000138.npz,138,000139_label0,0,0,300,300,6,-83.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000139.npz,139,000140_label0,0,0,300,300,6,-85.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000140.npz,140,000141_label0,0,0,300,300,6,-91.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000141.npz,141,000142_label0,0,0,300,300,6,-99.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000142.npz,142,000143_label0,0,0,300,300,6,-85.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000143.npz,143,000144_label0,0,0,300,300,6,-69.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000144.npz,144,000145_label0,0,0,300,300,6,-82.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000145.npz,145,000146_label0,0,0,300,300,6,-81.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000146.npz,146,000147_label0,0,0,300,300,6,-98.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000147.npz,147,000148_label0,0,0,300,300,6,-99.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000148.npz,148,000149_label0,0,0,300,300,6,-114.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000149.npz,149,000150_label0,0,0,300,300,6,-54.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000150.npz,150,000151_label0,0,0,300,300,6,-105.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000151.npz,151,000152_label0,0,0,300,300,6,-94.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000152.npz,152,000153_label0,0,0,300,300,6,-82.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
